"Names","Group","January_Quantity","January_Value","February_Quantity","February_Value","March_Quantity","March_Value","April_Quantity","April_Value","May_Quantity","May_Value","June_Quantity","June_Value","July_Quantity","July_Value","7_months_Quantity","7_months_Value"
"Korea","Other Machinery, instrument, accessory",0,209673.76,0,232733.07,0,275331.71,0,260686.36,0,257700.24,0,258681.86,NA,294381.45,NA,1789188.45
"Korea","Cameras and their parts",0,39587.88,0,31394.11,0,36365.67,0,38758.09,0,35177.28,0,34550.03,NA,38549.22,NA,254382.3
"Korea","Other base metals and products",0,28122.8,0,29660.2,0,31575.96,0,30722,0,35465.51,0,35457.63,NA,41220.83,NA,232224.95
"Korea","Chemicals",0,12230.59,0,9499.38,0,16984.12,0,9581.57,0,10341.12,0,8689.32,NA,10629.11,NA,77955.24
"Korea","Pepper",501,3433.16,686,4324.58,626,4390.06,904,6204.91,633,4737.93,752,5168.28,772,4882.92,4874,33141.87
"Korea","Seafood",0,61590.97,0,49659.36,0,68445.01,0,66768.95,0,70026.66,0,68121.55,NA,76334.82,NA,460947.34
"Korea","Fresh and pocessed vegetables and fruit",0,18701.46,0,22384.36,0,31094.84,0,29278.42,0,29230.19,0,26994.73,NA,26042.18,NA,183726.19
"Korea","Textile, sewing products",0,297709.44,0,238261.95,0,291105.6,0,200725.84,0,139591.16,0,168700.65,NA,258972.17,NA,1595066.83
"Korea","Paper and paper products",0,3536.14,0,3385.07,0,4090.87,0,4354.12,0,3304.23,0,3161.2,NA,3750.46,NA,25582.13
"Korea","Footwear",0,66151.46,0,56356.19,0,48668.09,0,35148.32,0,54269.44,0,56201.33,NA,60055.21,NA,376850.06
"Korea","Wood and wooden products",0,73901.01,0,45599.7,0,67137.29,0,70682.2,0,58122.63,0,55351.25,NA,62248.61,NA,433042.71
"Korea","Crude oil",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
"Korea","Electrical wire and cable",0,31042.6,0,33755.9,0,36827.03,0,40163.78,0,38524.55,0,37507.49,NA,40676.46,NA,258497.84
"Korea","Plastic materials",1572,2634.67,2789,4628.28,2973,4202.29,2813,4118.17,2763,3674.02,3404,5006.14,2929,4634.23,19243,28897.83
"Korea","Rubber",2452,5271.95,4092,8481.23,3863,8012.56,2563,5385.29,3038,5951.95,4449,8186.39,4610,8113.73,25067,49403.12
"Korea","Coffee",3058,14932.6,4823,22728.82,4729,22612.05,4417,22846.16,4275,24203.66,4151,21690.14,2407,11297.26,27860,140310.72
"Korea","Chemical products",0,6881.45,0,6732.05,0,7442.92,0,8737.58,0,6857.83,0,7064.14,NA,14701.13,NA,58417.12
"Korea","Sweets, cookies and cereal preparations",0,8008.19,0,7211.21,0,7851.32,0,7216.6,0,6687.77,0,7799.24,NA,8587.43,NA,53361.77
"Korea","Telephones and their parts",0,254688.71,0,254816.55,0,270292.03,0,249316.89,0,359428.2,0,404617.4,NA,561528.16,NA,2354687.96
"Korea","Toys, games and sports requisites; parts and accessories thereof",0,3587.07,0,4567.09,0,4218.01,0,3663.41,0,3390.79,0,3015.46,NA,4069.27,NA,26511.12
"Korea","Precious stones, precious metals and their products",0,6047.19,0,4631.89,0,5230.99,0,4432.74,0,3972.25,0,2507.27,NA,2289.6,NA,29111.96
"Australia",NA,0,570272.19,0,421233.55,0,576573.68,0,486710.16,0,508931.38,0,505207.62,NA,584114.75,NA,3653043.35
"Australia","Bags, pockets, wallets, suitcases, hats and umbrellas",0,5726.38,0,3111.94,0,4654.55,0,6866.43,0,5453.44,0,8788.03,NA,7947.32,NA,42548.11
"Australia","Articles of rubber",0,1902.12,0,1039.75,0,2291.31,0,2364.84,0,1678.8,0,1750.36,NA,2339.32,NA,13366.52
"Australia","Iron, Steel",45163,29870.75,21331,15673.74,34335,21971.8,42690,26615.14,16162,11352.61,100664,51572.42,13374,9290.33,273719,166346.82
