"Names","Group","January_Quantity","January_Value","February_Quantity","February_Value","March_Quantity","March_Value","April_Quantity","April_Value","May_Quantity","May_Value","June_Quantity","June_Value","July_Quantity","July_Value","August_Quantity","August_Value","September_Quantity","September_Value","October_Quantity","October_Value","November_Quantity","November_Value","December_Quantity","December_Value","12_months_Quantity","12_months_Value"
"EU",NA,0,1308691.69,NA,1128154.66,NA,1290842.4,NA,1289947.52,NA,1360539.7,NA,1310223.61,NA,1605212.25,NA,1557727.14,NA,1419784.04,NA,1662620.8,NA,1296599.48,NA,1494982.91,NA,16725327.52
"EU","Fibres, not spun",610,1610.01,279,787.27,1159,3264.87,836,2701.53,680,1938.14,329,1257.47,639,2105.8,929,3152.18,849,2291.15,1104,3596.75,825,2554.34,476,1381.01,8715,26640.61
"EU","Textile fibrics",0,11205.01,0,11907.05,0,16486.47,0,20565.87,NA,15746.37,NA,14226.04,NA,19139.67,0,16675.61,0,14374.42,0,16917.12,0,18132.01,NA,17196.81,NA,192572.68
"EU","Insecticides and materials",0,1786.65,0,4289.92,0,3070.22,0,8217.99,NA,3176.05,NA,4758.69,NA,10093.57,0,7815.43,0,5322.04,0,5126.07,0,2492.85,NA,3209.41,NA,59359.04
"EU","Animal fodder and materials",0,10362.08,0,11967.37,0,10500.61,0,13437.26,NA,14084.45,NA,11560.32,NA,13948.45,0,13741.34,0,12936.58,0,10915.13,0,10156.76,NA,11498.9,NA,145109.62
"EU","Glass and glassware",0,1954.76,0,1110.13,0,2583.01,0,2134.02,NA,3069.82,NA,1989.38,NA,1948.96,0,2640.23,0,1455.2,0,2237.12,0,2183.09,NA,2187.85,NA,25493.66
"EU","Iron, Steel",1657,6476.89,1437,6820.41,1650,6015.43,1207,5392.66,1699,6573.34,1439,5103.87,900,6149.18,1957,6318.95,1206,4281.56,1220,5260.22,1242,6442.72,1882,7198.46,17496,72034.17
"EU","Articles of iron and steel",0,14066.58,0,11662.81,0,14387.39,0,14787.37,NA,14787.24,NA,14193.39,NA,17740.45,0,16001.85,0,14913.72,0,17651.34,0,15054.73,NA,14570.32,NA,179817.77
"EU","Other base metal products",0,1051.19,0,1017.77,0,856,0,1171.44,NA,962.66,NA,1318.52,NA,1421.53,0,1690.12,0,1044.78,0,3363.74,0,2154.91,NA,1704.96,NA,17757.67
"EU","Paper products",0,123.88,0,215.64,0,301.26,0,242,NA,291.29,NA,124.38,NA,351.69,0,370.25,0,169.66,0,384.02,0,203.01,NA,289.59,NA,3066.71
"EU","Articles of plastics",0,12545.6,0,11704.32,0,13728.81,0,15292.67,NA,14116.97,NA,13974.5,NA,17570.03,0,19391.04,0,17795.45,0,15644.01,0,16323.94,NA,17199.27,NA,185286.96
"EU","Articles of rubber",0,3463.64,0,2216.84,0,3649.93,0,3638.32,NA,3783.25,NA,3741.2,NA,4765.9,0,3769.42,0,3742.03,0,4269.1,0,4190.16,NA,4010.34,NA,45240.26
"EU","Other petroleum products",0,1346.8,0,1760.57,0,1410.71,0,1624.77,NA,1965.1,NA,1882.2,NA,2201.69,0,1947.92,0,1420.83,0,1448.09,0,1402.61,NA,1743.37,NA,20154.82
"EU","Chemical products",0,40702.87,0,36938.7,0,50226.33,0,61810.2,NA,59808.21,NA,62003.45,NA,74844,0,75184.64,0,58755.31,0,62243.15,0,56776.6,NA,57810.85,NA,697104.8
"EU","Dairy products",0,10923.57,0,9168.43,0,24722.4,0,17566.84,NA,19091.5,NA,24215.58,NA,24569.1,0,23566.93,0,22105.61,0,23024.65,0,25209.86,NA,15128.16,NA,239293.07
"EU","Ores and other minerals",420,758.49,163,415.89,84,43.18,237,601.67,272,488.33,139,592.21,176,967.05,220,664.28,275,919.34,240,185.28,140,456.33,653,1884.4,3019,7976.54
"EU","Other means of transort and equipments",0,42517.94,0,12809.53,0,12939.32,0,23620.79,NA,10876.34,NA,16648.7,NA,16501.48,0,22503,0,8683.89,0,122765.84,0,21388.66,NA,84693.64,NA,395949.29
"EU","Fertilizers",5235,2193.79,10453,3699.93,6540,2571.34,15678,7011.49,9666,3899.78,9318,3886.86,14200,6470.48,12590,5559.19,14768,5929.39,15409,5949.5,12362,5160.66,7018,2812.17,133237,55144.68
"EU","Auxiliary materials for cigarettes",0,84.8,0,53.76,0,85.89,0,266.25,NA,232.18,NA,155.05,NA,873.87,0,2039.65,0,6.4,0,414.2,0,856.74,NA,1711.68,NA,6780.51
"EU","Auxiliary materials for textile, garment, leather, footwear",0,15981.06,0,16325.96,0,21384.64,0,30613.21,NA,29851.19,NA,19678.93,NA,27731.55,0,23752.34,0,29069.37,0,26019.08,0,18305.28,NA,21282.72,NA,279995.69
"EU","Auxiliary materials for medicaments",0,1239.74,0,1428.53,0,2619.55,0,3337.91,NA,3193.88,NA,3099.04,NA,3967.78,0,2552.91,0,1875.27,0,3250.75,0,1517.73,NA,1922.76,NA,30006.08
"EU","Computers, electronical products and parts",0,429582.7,0,275769.7,0,325185.78,0,235107.06,NA,219739.78,NA,265817.96,NA,370758.13,0,338701.72,0,296311.75,0,372921.36,0,244241.82,NA,248280.51,NA,3622418.93
"EU","Other Machinery, instrument, accessory",0,190184.76,0,214442.6,0,253382.61,0,222180.9,NA,243323.77,NA,251845.18,NA,285623.32,0,282803.2,0,272272.89,0,295595.79,0,271376.21,NA,307150.12,NA,3090182.15
"EU","Parts and accessories for motor",0,12945.17,0,7998.9,0,4853.44,0,7204.32,NA,6537.72,NA,8166.08,NA,13218.5,0,10695.75,0,9776.74,0,8599.29,0,8082.26,NA,6857.57,NA,104935.95
"EU","Other base metals",456,2974.52,666,4622.37,1079,5659.87,334,2540.18,871,5349.82,291,2860.44,724,6299.86,605,4147.16,1189,6048.37,491,4080.11,719,4258.08,761,5189.14,8186,54030.2
"EU","Chemicals",0,35445.19,0,75201.58,0,18573.07,0,17831.86,NA,81071.11,NA,35397.37,NA,57415.26,0,35247.64,0,37799.85,0,14963.22,0,27444.92,NA,44479.57,NA,480871.06
"EU","Fishery products",0,2562.44,0,1269.19,0,1672.31,0,1212.9,NA,2228.48,NA,1706.77,NA,1536.87,0,2135.91,0,1258.81,0,1903.14,0,1421.99,NA,1865.85,NA,20774.81
"EU","Domestic electrical appliances and parts",0,1000.4,0,587.51,0,920.56,0,1560.79,NA,1410.9,NA,710.77,NA,521.56,0,1411.02,0,2470.39,0,1516.31,0,1559.41,NA,1024.27,NA,14693.98
"EU","Paper",4822,5338.3,6351,6997.5,4446,5234.4,3860,4560.79,5101,6725.97,6631,6960.33,8680,9418.16,4643,7869.89,4116,7105.64,6631,7585.53,4726,6178.23,7073,8990.36,67080,82965.37
"EU","Wood and wooden products",0,12143.63,0,9980.32,0,11757.92,0,20503.55,NA,16816.57,NA,20109.24,NA,32080.07,0,30552.08,0,24770.72,0,14997.4,0,12836.05,NA,16048.7,NA,222596.59
"EU","Pharmaceutical products",0,154192.63,0,116155.47,0,169113.75,0,226629.08,NA,206328.38,NA,192547.24,NA,201223.45,0,197885.99,0,196433.6,0,232860.77,0,176012.39,NA,222190.14,NA,2291573.58
"EU","Electrical wire and cable",0,1965.34,0,1823.9,0,2158.6,0,2225.04,NA,2306.24,NA,1535.16,NA,2430.24,0,2610.53,0,2206.74,0,2647.79,0,2427.45,NA,1679.34,NA,26016.51
"EU","Other preparations for foodstuff",0,6986.75,0,5693.08,0,7716.69,0,11311.72,NA,7165.42,NA,9494.93,NA,10513.29,0,8451.86,0,11821,0,8181.08,0,8615.96,NA,10870.95,NA,106823.11
"EU","Plastic materials",3522,13142.53,4125,15034.24,4471,18222.4,6010,23015.66,6797,25022.53,6114,20362.17,7052,24240.52,4989,19478.95,5574,20562.62,6408,20844.5,4826,18608.37,5223,17675.72,65111,236210.51
"EU","Aromatic substance, cosmetic and cleaning preparations",0,7875.47,0,7850.7,0,11805.38,0,14084.99,NA,10518.68,NA,13502.18,NA,12124.42,0,11842.06,0,12531.93,0,11097.9,0,12826.27,NA,12974.67,NA,139034.9
"EU","Rubber",474,1577.59,536,1410.46,608,1730.61,257,1029.54,320,1192.77,816,2337.87,856,2045.28,961,2436.24,838,2342.58,1038,2675.8,648,1938.88,740,1872.13,8092,22589.93
