"Names","Group","January_Quantity","January_Value","February_Quantity","February_Value","March_Quantity","March_Value","April_Quantity","April_Value","May_Quantity","May_Value","June_Quantity","June_Value","July_Quantity","July_Value","August_Quantity","August_Value","September_Quantity","September_Value","October_Quantity","October_Value","November_Quantity","November_Value","December_Quantity","December_Value","12_months_Quantity","12_months_Value"
"EU",NA,0,1239383.79,0,1269758.91,0,1371214.57,0,1396533.54,0,1378414.8,0,1221822.28,0,1200410.55,0,1240217.99,0,1156573.18,0,1264919.18,0,1236105.88,0,1443664.95,0,15419020.98
"EU","Fibres, not spun",313,1404,252,908.7,275,1031.04,445,1694.56,306,1119.18,169,785.75,281,1040.07,139,963.98,293,1165.08,95,1259.06,352,1242.83,157,557.78,3077,13172.09
"EU","Textile fibrics",0,10919.09,0,11579.77,0,14017.86,0,17972.39,0,22874.29,0,16386.64,0,17317.15,0,18536.62,0,12121.37,0,15266.69,0,17128.9,0,16241.98,0,190362.98
"EU","Insecticides and materials",0,8138.04,0,9731.53,0,4095.37,0,7330.79,0,6013.18,0,5399.65,0,7571.97,0,6519.56,0,5955.22,0,4834.64,0,6114.92,0,6527.47,0,78232.51
"EU","Animal fodder and materials",0,35852.98,0,26980.55,0,29197.65,0,35584.56,0,47523.05,0,48365.46,0,40048.95,0,51960.6,0,40771.41,0,39705.62,0,63170.67,0,41837.33,0,500999.23
"EU","Glass and glassware",0,1275.11,0,1084.99,0,2305.28,0,3112.92,0,1180.17,0,1368.93,0,1392.73,0,1658.72,0,1531.89,0,1223.4,0,1693.44,0,980.95,0,18808.63
"EU","Iron, Steel",2162,9474.07,1660,7183.41,1988,10246.6,2726,7787.7,2313,6888.62,2231,9538.67,2284,9388.98,2240,10111.92,1966,8912.21,1162,8204,1620,8678.91,2105,7689.29,24457,104104.86
"EU","Articles of iron and steel",0,10754.15,0,10379.51,0,14609.7,0,14703.48,0,16983.73,0,16307.05,0,16960.32,0,17957.72,0,17997.74,0,15709.36,0,17183,0,21853.76,0,191400.08
"EU","Other base metal products",0,934.58,0,981.07,0,1145.6,0,854.3,0,966.22,0,1188.46,0,1074.47,0,1094.64,0,1184.13,0,1280.17,0,1821.58,0,1432.32,0,13957.58
"EU","Paper products",0,616.37,0,643.67,0,878.42,0,825.69,0,755.99,0,805.86,0,1032.15,0,343.73,0,408.31,0,609.72,0,289.41,0,662.02,0,7871.39
"EU","Articles of plastics",0,13393.94,0,11628.41,0,13019.9,0,12975.14,0,13022.8,0,13679.62,0,12175.3,0,14208.35,0,13843.15,0,13273.25,0,15845.64,0,14975.85,0,162041.68
"EU","Articles of rubber",0,5028.5,0,2526.56,0,4526.49,0,4462.57,0,3180.77,0,3632.02,0,3968.12,0,4346.14,0,4487.84,0,4226.85,0,3212.9,0,3706.34,0,47305.23
"EU","Other petroleum products",0,3080.15,0,1616.65,0,2766.24,0,2834.53,0,2192.76,0,2102.33,0,1946.05,0,3099.4,0,2460.67,0,2336.59,0,1713.22,0,1854.7,0,28003.41
