"Names","Group","January_Quantity","January_Value","February_Quantity","February_Value","March_Quantity","March_Value","April_Quantity","April_Value","May_Quantity","May_Value","June_Quantity","June_Value","July_Quantity","July_Value","August_Quantity","August_Value","September_Quantity","September_Value","October_Quantity","October_Value","November_Quantity","November_Value","December_Quantity","December_Value","12_months_Quantity","12_months_Value"
"ASEAN","Fresh and pocessed vegetables and fruit",0,16973.88,0,21454.01,0,20957.18,0,18755.24,0,15958.64,0,15342.72,0,18129.48,0,15255.55,0,15073.93,0,16720.57,0,14843.13,0,14691.17,0,204155.8
"ASEAN","Domestic electrical appliances and parts",0,44553.12,0,118537.32,0,133504.71,0,82057.69,0,121057.27,0,110038.21,0,67181,0,56610.31,0,46433.7,0,51919.05,0,53297.81,0,56430.06,0,941620.42
"ASEAN","Paper",34639,31523.44,56043,52878.1,59041,56604.91,51284,48667.55,58347,57441.3,47669,44654.1,47444,42979.47,46624,41884.4,54914,44983.98,55971,47777.94,63774,53502.87,58872,50352.66,634622,573250.95
"ASEAN","Wood and wooden products",0,12611.08,0,24551.7,0,29796.35,0,26425.92,0,28467.27,0,24093.21,0,22916.73,0,19684.41,0,20443.21,0,23250.02,0,26866.82,0,26955.13,0,286062.11
"ASEAN","Pharmaceutical products",0,5427.18,0,10066.51,0,11913.84,0,6028.17,0,12774.56,0,10080.25,0,7674.66,0,13329.64,0,9525.87,0,18516.69,0,12912.24,0,10520.89,0,128770.76
"ASEAN","Vegetable oil and fat",0,61605.14,0,84378.39,0,101135.53,0,109635.58,0,63535.16,0,86876.6,0,94606.31,0,114585.55,0,139997.53,0,125810.63,0,108416.36,0,109587.15,0,1200170.1
"ASEAN","Crude oil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,48793,37829.73,0,0,0,0,0,0,28233,20171.08,77026,58000.82
"ASEAN","Electrical wire and cable",0,16472.58,0,20026.62,0,20935.79,0,20512.22,0,23353.79,0,22997.26,0,25414.42,0,27897.24,0,24177.5,0,28731,0,32242.05,0,30657.96,0,293418.65
"ASEAN","Other preparations for foodstuff",0,23620.4,0,35841.18,0,45617.25,0,34202.72,0,46011.37,0,30699.03,0,51486.36,0,34719.32,0,31993.23,0,48970.83,0,39703.44,0,41977.29,0,464842.66
"ASEAN","Plastic materials",48413,69737.15,91676,122132.96,81429,117062.42,78308,111463.35,100968,133300.37,84273,111594.02,89348,114475.77,110207,132345.73,78136,105067.09,102095,130117.57,93969,122386.7,86682,111694.4,1045504,1381377.76
"ASEAN","Aromatic substance, cosmetic and cleaning preparations",0,34267.93,0,51922.5,0,57461.94,0,51660.92,0,54676.15,0,51325.07,0,50449.24,0,53645.27,0,49300.21,0,55852.36,0,56815.62,0,53647.03,0,621024.52
"ASEAN","Rubber",113414,107323.6,72259,86094.29,57169,72683.71,57583,63099.11,86971,88183.85,90944,93555.16,100208,100953.51,117617,114047.87,101861,103152.41,108743,111883.73,142862,143526.87,156500,164192.04,1206131,1248696.38
"ASEAN","Cotton",581,983.4,986,1600.25,412,707.25,520,918.79,532,922.13,441,723.57,306,547.27,536,861.58,359,571.19,572,906.51,444,649.94,919,1341.22,6608,10733.14
"ASEAN","Sweets, cookies and cereal preparations",0,12890.17,0,21915.56,0,21354.81,0,16925.06,0,19988.27,0,16224.06,0,19824.89,0,21826.58,0,28177.67,0,36735.04,0,32869.34,0,28194.98,0,276926.68
"ASEAN","Soybeans",50,40,170,131.3,50,40,50,40,0,0,0,0,55,41.25,0,0,78,58.5,3111,2362.59,9693,7240.72,1335,929.55,14592,10883.92
"ASEAN","Precious stones, precious metals and their products",0,1356.9,0,2415.06,0,2018.11,0,2530.52,0,2068.84,0,1383.45,0,1340.14,0,1061.91,0,1307.81,0,2039.51,0,1578.73,0,3154.34,0,22255.35
"ASEAN","Motor vehicles, assembled",12872,215172.21,10863,188822.33,12440,224715.38,10022,176580.72,5839,105607.69,6316,119136.28,7233,131821.21,5794,103136.94,5920,100605.75,7771,165974.3,5548,116963.65,6000,104487,96618,1753023.58
"United States",NA,0,923515.37,0,948188.35,0,1151440.75,0,1301450.49,0,1327244.96,0,1218245.96,0,1182237.26,0,1097304.74,0,1115925.92,0,1075356.99,0,1221538.65,0,1259944.98,0,13822394.48
"United States","Textile fibrics",0,4950.22,0,2477.94,0,3981.9,0,2221.42,0,3987.8,0,2488.32,0,2325.22,0,3058.13,0,3679.08,0,2619.56,0,2765.43,0,2503.43,0,37058.51
"United States","Insecticides and materials",0,698.82,0,350.62,0,1131.32,0,796.65,0,1250.23,0,1117.96,0,775.75,0,1149.31,0,1853.27,0,775.84,0,1729.81,0,943.71,0,12573.35
"United States","Animal fodder and materials",0,59352.55,0,65774.59,0,45670.18,0,63036.86,0,47062.59,0,62937.51,0,74049.46,0,59408.43,0,57678.69,0,68726.13,0,63299.03,0,94940.46,0,761936.53
"United States","Glass and glassware",0,840.87,0,2902.91,0,2133.78,0,521.94,0,711.19,0,760.36,0,514.77,0,793.98,0,630.45,0,748.36,0,472.51,0,831.49,0,11862.69
"United States","Iron, Steel",309,1886,229,1211.6,803,3467.94,720,1667.44,1735,3814.6,805,2617.7,635,1960.03,713,1434.6,307,575.53,178,925.27,426,1943.87,326,1188.51,7186,22693.13
"United States","Articles of iron and steel",0,5362.92,0,5470.89,0,7761.55,0,6997.38,0,6173.76,0,8160.66,0,6514.34,0,11363.38,0,5773.13,0,6055.91,0,6404.66,0,5793.01,0,81831.63
"United States","Other base metal products",0,2691.69,0,1872.94,0,1927.62,0,1912.72,0,2177.97,0,2417.22,0,2280.86,0,1860.65,0,1888.77,0,2620.4,0,2432.39,0,2673.33,0,26756.61
"United States","Paper products",0,465.6,0,2651.54,0,1668.05,0,1630.43,0,1243.09,0,474.59,0,516.5,0,674.81,0,1258.64,0,498.91,0,494.06,0,576.17,0,12152.44
"United States","Articles of plastics",0,8929.41,0,12571.32,0,11954.28,0,15523.47,0,16656.27,0,16803.39,0,16910.79,0,16071.66,0,14219.1,0,16735.33,0,14418.87,0,12847.87,0,173641.81
"United States","Articles of rubber",0,1867.9,0,1200.82,0,2250.85,0,2077.44,0,1841.2,0,1623.66,0,2780.9,0,2144.36,0,1967.89,0,2297.45,0,2419.72,0,1621.44,0,24093.69
"United States","Other petroleum products",0,1073.86,0,1477.22,0,642.99,0,1351.01,0,2089.31,0,2181.13,0,999.42,0,1813.12,0,1459.67,0,1222.3,0,2058.8,0,768.08,0,17136.96
"United States","Chemical products",0,23147.7,0,24307.17,0,39221.95,0,24169.49,0,35003.5,0,26323.27,0,27258.31,0,27945.83,0,29077.74,0,31517.12,0,29682.99,0,34416.87,0,352072
"United States","Dairy products",0,10780.31,0,5132.1,0,8258.07,0,8642.58,0,13565.82,0,18733.04,0,11215.5,0,18370.27,0,11321.07,0,7376.39,0,12951.72,0,8807.31,0,135154.24
"United States","Ores and other minerals",1962,2220.26,1458,1707.68,1767,2500.1,1882,3177.53,1374,2401.2,1530,3458.4,1711,3160.64,1204,2589.1,3072,5403.39,2711,1509.16,3441,4378.75,4559,2793.15,26671,35299.42
"United States","Waste iron and steel",47007,17887.28,152961,62477.46,195369,85110.47,182187,81840.35,97594,44297.64,17908,7246.28,21059,7855.47,29377,10890.41,57056,21951.46,25660,9604.54,60945,23420.27,23598,8787.17,910721,381368.83
"United States","Other means of transort and equipments",0,19858.69,0,57543.53,0,58315.32,0,45370.51,0,39515.79,0,28706.26,0,28093.24,0,52626.97,0,30191.54,0,17237.18,0,21824.58,0,32675.81,0,431959.46
"United States","Fertilizers",368,560.71,524,835.57,541,1271.24,960,1324.87,533,1064.15,352,695.38,312,537.99,484,1163.15,1252,1062,497,1013.8,415,844.29,206,614.24,6444,10987.44
"United States","Auxiliary materials for cigarettes",0,0,0,235.63,0,737.92,0,403.78,0,343.15,0,2437.06,0,6535.55,0,1213,0,2964.55,0,2928.77,0,3578.53,0,5898.33,0,27276.31
"United States","Auxiliary materials for textile, garment, leather, footwear",0,22871.67,0,29341.16,0,34684.62,0,20388.07,0,38703.02,0,28844.7,0,28725.62,0,34819.13,0,30098.73,0,28580.61,0,32984.78,0,34199.27,0,364241.44
"United States","Computers, electronical products and parts",0,229880.9,0,160062.5,0,208759.95,0,246811.5,0,253524.52,0,398149.54,0,404728.71,0,293271.94,0,432477.46,0,344424.13,0,443201.73,0,408463.99,0,3823756.92
"United States","Other Machinery, instrument, accessory",0,54301.36,0,56352.28,0,76199.11,0,82618.92,0,76635.02,0,78124.5,0,90965.86,0,86426.78,0,75949.01,0,77993.55,0,73290.71,0,90061.52,0,918918.66
"United States","Cameras and their parts",0,9418.98,0,748.94,0,2763.85,0,3080.82,0,938.93,0,3348.34,0,2237.55,0,444.2,0,761.09,0,1165.1,0,878.11,0,1768.57,0,27554.51
"United States","Wheat",7282,3191.48,749,333.06,64288,27882.87,56531,22279.98,17826,7224.06,24940,9365.47,629,237.53,87046,31726.45,3501,1187.11,101193,35467.96,8294,3061.63,1222,363.93,373501,142321.57
"United States","Parts and accessories for motor",0,2286.61,0,5798.7,0,2601.9,0,5060.57,0,5190.39,0,3309.33,0,3761.3,0,3393.52,0,1718.6,0,5394.94,0,4109.3,0,2597.66,0,45222.86
"United States","Other base metals",228,2565.4,545,2945.15,534,3858.09,378,4618.21,246,4182.31,920,3205.91,372,2670.28,430,4821.97,234,3670.51,505,3487.75,433,6251.31,777,5956.61,5602,48233.54
"United States","Chemicals",0,44238.93,0,51195.35,0,68165.54,0,58045.29,0,71688.25,0,50888.39,0,51501.88,0,56094.32,0,61240.68,0,79023.97,0,57638.82,0,33588.78,0,683310.25
"United States","Fishery products",0,5272.26,0,4738.78,0,4095.55,0,4479.63,0,5131.55,0,9588.6,0,8024.06,0,8336.03,0,6697.44,0,9637.99,0,7154.74,0,5831.77,0,78988.45
"United States","Fresh and pocessed vegetables and fruit",0,19642.22,0,19234.29,0,19071.33,0,27182.93,0,27051.87,0,34077.9,0,45538.24,0,28647.53,0,18502.09,0,19122.23,0,28725.02,0,44744.32,0,331540.01
"United States","Paper",547,886.52,189,391.22,929,1257.83,544,795.34,650,1032.42,514,944.23,502,637.89,993,1372.16,530,855.3,556,1085.44,656,873.08,377,1036.31,6987,11167.79
"United States","Wood and wooden products",0,12469.88,0,13585.5,0,23239.91,0,20844.59,0,29829.23,0,21874.56,0,19134.91,0,19095.53,0,18833.6,0,18794.84,0,22309.85,0,18459.63,0,238472.08
"United States","Pharmaceutical products",0,23025.32,0,35428.78,0,24602.6,0,16321.61,0,32276.92,0,24957.79,0,34587.21,0,58403.7,0,49591.31,0,23841.76,0,33629.09,0,36374.85,0,393040.99
"United States","Vegetable oil and fat",0,440.68,0,137.3,0,151.07,0,211.58,0,436.44,0,376.12,0,273.19,0,295.51,0,343.09,0,252.07,0,193.01,0,467.45,0,3577.55
