"Names","Group","January_Quantity","January_Value","February_Quantity","February_Value","March_Quantity","March_Value","April_Quantity","April_Value","May_Quantity","May_Value","June_Quantity","June_Value","July_Quantity","July_Value","August_Quantity","August_Value","September_Quantity","September_Value","October_Quantity","October_Value","November_Quantity","November_Value","December_Quantity","December_Value","12_months_Quantity","12_months_Value"
"EU",NA,0,4280286.62,0,2803097.49,0,4372376.26,0,4327480.04,0,3812156.99,0,4233495.1,0,3936409.74,0,4312032.07,0,3650643.74,0,4029092.98,0,3666856.5,0,3405425.21,0,46829354.13
"EU","Fibres, not spun",1592,8403.76,1316,7781.48,1521,7876.42,2015,8655.21,1251,6016.53,1145,5922.94,1099,4774.69,1336,5547.82,932,4456.54,1204,4160.78,793,3632.95,940,4067.4,15144,71296.66
"EU","Pieces of cloth and other technical cloths",0,2380.26,0,2828,0,3662.87,0,3044.81,0,3562.62,0,2641.79,0,3702.68,0,3815.69,0,4423.05,0,3123.58,0,2577.1,0,2847.7,0,38610.19
"EU","Bags, pockets, wallets, suitcases, hats and umbrellas",0,90797.96,0,40499.81,0,77542.25,0,74726.06,0,80080.08,0,88938.9,0,72905.84,0,81683.1,0,71249.07,0,76281.02,0,82845.31,0,77139.04,0,914688.94
"EU","Coal",0,0,0,0,230,40.72,0,0,0,0,0,0,111,20.07,11040,3961.28,0,0,0,0,0,0,139,26.85,11520,4048.94
"EU","Articles of rubber",0,13774.13,0,7526.22,0,14032.2,0,11011,0,12432.08,0,9722.33,0,7466.18,0,10300.02,0,6747.78,0,6909.29,0,8104.21,0,8983.95,0,117009.82
"EU","Iron, Steel",116060,160382.1,87407,99019.94,235994,249613.14,230495,280165.51,99233,130516.77,129390,165686.74,63982,71847.51,24511,39981.42,84314,61792.21,112087,79749.55,78014,53564.01,106303,76352.81,1367790,1468671.93
"EU","Articles of iron and steel",0,91356.87,0,67590.93,0,110205.63,0,71264.48,0,86069.4,0,87220.8,0,80237.58,0,78747.48,0,65253.5,0,56883.63,0,54523.74,0,58428.84,0,907783.55
"EU","Articles of plastics",0,60719.9,0,35505.77,0,56964.19,0,58436.93,0,56414.15,0,57624.2,0,51088,0,54254.7,0,41007,0,39013.97,0,42726.97,0,49453.17,0,603209.56
"EU","Other furniture products (excluding wooden furniture)",0,4944.59,0,2422.31,0,5544.02,0,5626.26,0,2864.89,0,2416.63,0,1447.89,0,950.71,0,1178.37,0,3329.45,0,2443.47,0,4471.12,0,37639.8
