"Names","Group","January_Quantity","January_Value","February_Quantity","February_Value","March_Quantity","March_Value","April_Quantity","April_Value","May_Quantity","May_Value","June_Quantity","June_Value","July_Quantity","July_Value","7_months_Quantity","7_months_Value"
"Korea",NA,0,4199540.04,0,4804923.14,0,4895089.44,0,4573975.36,0,5202256.03,0,4685416.71,NA,5302158.36,NA,33663359.13
"Korea","Fibres, not spun",2246,10739.2,2767,9738.93,2514,7328.22,2760,8933.96,2362,8635.6,2990,11138.27,2647,10356.15,18286,66870.35
"Korea","Petroleum oil, refined",183922,130374.16,258612,178015.94,223097,142263.08,156306,94490.6,210880,129530.29,268366,177446.8,404087,275063.23,1705270,1127184.14
"Korea","Textile fibrics",0,92673.52,0,119889.35,0,123219.27,0,121296.67,0,125653.71,0,131166.72,NA,121124.78,NA,835024.04
"Korea","Insecticides and materials",0,5000.59,0,8261.82,0,5518.77,0,11648.91,0,8854.71,0,5143.27,NA,12019.45,NA,56447.54
"Korea","Animal fodder and materials",0,4349.24,0,5299.57,0,5206.16,0,5080.71,0,4856.9,0,5722.12,NA,5252.2,NA,35766.92
"Korea","Glass and glassware",0,4411.34,0,7001.69,0,6659.21,0,6260.82,0,5682.58,0,5802.97,NA,7517.16,NA,43335.8
"Korea","Iron, Steel",103325,79584.22,121609,103840.89,121854,103433.24,138699,110589.72,132658,103419.49,88219,76237.41,127979,106010.2,834343,683115.2
"Korea","Articles of iron and steel",0,48151.3,0,61585.41,0,60086.35,0,64066.33,0,64548.47,0,59035.18,NA,69372.81,NA,426845.87
"Korea","Other base metal products",0,15540.92,0,19406.41,0,18487.5,0,19304.1,0,17858.08,0,20951.7,NA,24447.26,NA,135996
"Korea","Paper products",0,4057.65,0,5076.58,0,3422.76,0,4296.65,0,5200.56,0,5699.88,NA,5619.37,NA,33373.47
"Korea","Articles of plastics",0,100392.89,0,127671.35,0,124976.4,0,122113.71,0,137497.91,0,120914.86,NA,130041.55,NA,863608.68
"Korea","Articles of rubber",0,7826.4,0,8884.26,0,8906.58,0,9125.35,0,9680.74,0,9200.96,NA,12318.19,NA,65942.52
"Korea","Other petroleum products",0,26860.44,0,30127,0,25787.47,0,28302.24,0,25112.7,0,25186.17,NA,22411.06,NA,183787.11
"Korea","Chemical products",0,59810.82,0,72058.26,0,73734.05,0,77227.28,0,71434.32,0,72481.46,NA,79184.52,NA,505930.75
"Korea","Dairy products",0,2677.78,0,2091.42,0,2993.01,0,1734.13,0,2112.69,0,697.14,NA,1756.2,NA,14062.39
"Korea","Ores and other minerals",3646,757.06,6006,1551.27,2592,950.9,1672,995.33,2030,855.26,2596,1322.37,4745,1933.51,23287,8365.75
"Korea","Other means of transort and equipments",0,4650.58,0,6803.99,0,4983.45,0,7546.17,0,12997.83,0,7424.64,NA,14193.04,NA,58599.73
"Korea","Fertilizers",17521,7230.19,9757,3722.25,24818,10944.49,28331,10704.65,16887,4800.91,38872,11249.06,24409,10236.62,160595,58888.2
"Korea","Auxiliary materials for textile, garment, leather, footwear",0,28422.42,0,38719.57,0,31351.77,0,40279.99,0,46640.37,0,42486.78,NA,34803.33,NA,262704.24
"Korea","Auxiliary materials for medicaments",0,546.57,0,87.22,0,394.15,0,253.51,0,129.72,0,1342.78,NA,49.52,NA,2803.49
"Korea","Computers, electronical products and parts",0,2609410.93,0,2879539.66,0,3073455.2,0,2784543.94,0,3266929.52,0,2842920.58,NA,3189924.56,NA,20646724.41
"Korea","Other Machinery, instrument, accessory",0,340638.72,0,393099.83,0,364505.85,0,362315,0,447552.75,0,400506.02,NA,420406.59,NA,2729024.79
"Korea","Cameras and their parts",0,1853.24,0,2144.79,0,3263.09,0,3323.3,0,2601.12,0,3119.57,NA,3003.51,NA,19308.66
"Korea","Parts and accessories for motor",0,80078.91,0,85987.3,0,85391.48,0,74918.63,0,87546,0,63766.57,NA,74236.56,NA,551925.48
"Korea","Other base metals",26737,106190.44,34257,127081.45,32163,123079.66,31723,120779.83,31396,125413.52,36912,130441.13,34183,129805.73,227371,862791.78
"Korea","Liquefied gas",4279,3117.81,2428,1915.89,4148,3015.89,4315,3136.74,6014,4174.13,4007,2659.91,4142,2800.88,29333,20821.27
"Korea","Chemicals",0,31380.37,0,34337.32,0,37544.62,0,38746.16,0,30631.71,0,32443.07,NA,41440.95,NA,246524.23
"Korea","Fishery products",0,7178.17,0,7631.22,0,7060.23,0,6904.21,0,5642.51,0,8994.04,NA,11421.82,NA,54832.24
"Korea","Fresh and pocessed vegetables and fruit",0,5427.39,0,3931.1,0,5567.03,0,5799.65,0,3932.08,0,2746.75,NA,3135.73,NA,30539.77
"Korea","Domestic electrical appliances and parts",0,4725.64,0,6128.07,0,5791.83,0,6524.1,0,5078.85,0,4435.54,NA,5382.56,NA,38066.6
"Korea","Paper",21662,19819.02,27154,22697.34,27942,22486.27,22887,19972.3,26340,21985.11,24002,19460.27,30907,25990.3,180894,152410.65
"Korea","Wood and wooden products",0,437.13,0,440.11,0,1103.98,0,313.31,0,474.7,0,939.85,NA,689.32,NA,4398.42
"Korea","Pharmaceutical products",0,11183.88,0,7556.52,0,8908.03,0,10377.62,0,10450.62,0,11758.15,NA,11831.83,NA,72066.66
"Korea","Vegetable oil and fat",0,639.74,0,393.34,0,620.42,0,573.06,0,376.04,0,450.55,NA,1054.48,NA,4107.66
"Korea","Electrical wire and cable",0,26374.33,0,34445.79,0,36397.53,0,39091.91,0,38095.57,0,36051.4,NA,40738.06,NA,251194.61
"Korea","Other preparations for foodstuff",0,6245.41,0,6380.9,0,7137.99,0,7270.26,0,6143.44,0,6086.11,NA,5918.23,NA,45182.38
"Korea","Plastic materials",119629,165624.66,150235,204814.52,122794,175671.34,125478,182274.8,132473,186751.22,113207,158976.38,137030,184611.1,900846,1258724.04
"Korea","Aromatic substance, cosmetic and cleaning preparations",0,15340.48,0,16645.22,0,19490.09,0,17783.95,0,19434.78,0,20753.21,NA,22467.53,NA,131915.29
"Korea","Rubber",13056,21896.52,17663,27027.71,16087,27852.52,15092,29160.6,14574,25054.07,15471,24527.56,18578,32553.1,110521,188072.12
"Korea","Cotton",135,155.99,187,203.13,0,-0.16,230,277.1,89,123.4,358,360.82,158,166.96,1157,1287.25
