"Names","Group","January_Quantity","January_Value","February_Quantity","February_Value","March_Quantity","March_Value","April_Quantity","April_Value","May_Quantity","May_Value","June_Quantity","June_Value","July_Quantity","July_Value","August_Quantity","August_Value","September_Quantity","September_Value","October_Quantity","October_Value","November_Quantity","November_Value","December_Quantity","December_Value","12_months_Quantity","12_months_Value"
"EU",NA,0,3301543.47,0,3439454.29,0,3687028.46,0,3795437.43,0,3603849.22,0,3577097.28,0,3913998.33,0,3737936.51,0,3514529.65,0,3733130.52,0,3746614.4,0,3626420.3,0,43677041.17
"EU","Fibres, not spun",1333,5599.68,1632,7348.59,1967,7440.62,2054,7419.59,2264,7277.04,1758,7044.1,1537,5905.44,2201,7318.89,1850,5826.68,2210,5238.87,2442,6543.79,2337,7121.22,23585,80084.61
"EU","Pieces of cloth and other technical cloths",0,2441.46,0,3555.02,0,3652.39,0,2699.41,0,2668.87,0,2183.71,0,1532.95,0,1911.11,0,756.85,0,994.43,0,146.93,0,260.89,0,22804.08
"EU","Bags, pockets, wallets, suitcases, hats and umbrellas",0,60386.64,0,49527.73,0,81701.77,0,85000.14,0,77903.06,0,68224.15,0,70206.19,0,71091.59,0,50811.75,0,69220.54,0,81141.52,0,72633.54,0,837849.12
"EU","Coal",356,88.75,191,47.74,94,34.87,181,79.57,190,46,20713,8542.7,0,0,0,0,157,38.15,30285,10897.67,0,0,45,10.82,52212,19786.31
"EU","Articles of rubber",0,5147.13,0,6288.35,0,9030.66,0,6668.21,0,7341.4,0,6700.61,0,7974.49,0,7946.35,0,6214.15,0,6179.09,0,7888.9,0,9443.75,0,86823.44
"EU","Iron, Steel",127889,75838,157204,118737.43,154914,127157.32,346656,288270.89,295306,253045.82,277605,221981.29,264825,183331.05,253144,172888.08,125387,86192.64,201157,138951.03,136521,89860.35,206063,138730.26,2546671,1894984.34
"EU","Articles of iron and steel",0,75648.43,0,48753.27,0,75729.3,0,51813.84,0,42201.39,0,44100.13,0,41701.67,0,51032.31,0,31685.74,0,36429.87,0,43156.15,0,37657.84,0,579910.55
"EU","Articles of plastics",0,33481.84,0,38952.74,0,48027.75,0,42865.66,0,40585.34,0,39629.34,0,45187.39,0,51365.64,0,42374.4,0,48507.07,0,47511.58,0,51819.25,0,530308.61
"EU","Other furniture products (excluding wooden furniture)",0,3316.87,0,2715.05,0,2019.96,0,1344.35,0,362.06,0,1538.41,0,283.23,0,632.26,0,1614.56,0,1887.97,0,3024.1,0,4232.06,0,22971
"EU","Rattan, bamboo and rush products",0,12968.36,0,14328.25,0,17427.1,0,16704.79,0,14848.76,0,12820.15,0,11744.88,0,13517.76,0,10372.55,0,11889.07,0,20298.31,0,19312.91,0,176233.15
"EU","Pottery and glasware",0,5401.18,0,3928.16,0,5934.72,0,5742.39,0,5159.13,0,4530.34,0,3657.4,0,4986.87,0,3665.46,0,5144.87,0,7259.66,0,6369.18,0,61779.75
"EU","Means of transport and equipment",0,86351.75,0,115231.36,0,101712.93,0,102310.55,0,119310.36,0,74753.05,0,102323.32,0,93073.55,0,74814.9,0,74968.17,0,94495.91,0,109695.93,0,1149042.31
"EU","Auxiliary materials for textile, garment, leather, footwear",0,11032.11,0,14053.3,0,17908.89,0,17760.58,0,16956.27,0,16990.74,0,19858.1,0,19970.56,0,14639.81,0,16653.56,0,14555.32,0,14330.6,0,194710.2
"EU","Computers, Electronical products & parts",0,307509.15,0,440163.29,0,471969.8,0,413875.62,0,353994.7,0,428633.95,0,503958.07,0,554453.47,0,526728.26,0,474988.43,0,543357.55,0,507347.47,0,5526980.45
"EU","Other Machinery, instrument, accessory",0,371835.77,0,471944.97,0,457964.62,0,422379.87,0,404549.38,0,420022.18,0,459251.28,0,462687.85,0,597096.2,0,506316.07,0,506399.5,0,463761.98,0,5544210.35
"EU","Cameras and their parts",0,12232.83,0,16963.02,0,17056.12,0,24255.17,0,17451.18,0,14861.16,0,21606.13,0,14574.16,0,15396.36,0,12320.32,0,17311.98,0,11711.38,0,195739.9
"EU","Other base metals and products",0,5813.95,0,14248.15,0,23872.83,0,13436.42,0,15048.78,0,10069.52,0,17112.34,0,8804.94,0,12470.28,0,11811.09,0,14965.05,0,17312.66,0,164966.2
"EU","Chemicals",0,5083.97,0,7053.2,0,6116.52,0,4681.2,0,5611.62,0,4170.16,0,2914.46,0,4785.54,0,3120.87,0,4971.14,0,4233.99,0,10412.78,0,63155.53
"EU","Pepper",1077,4070.52,1961,7845.66,2917,11922.28,2669,10477.16,2958,11998.18,2841,11790.16,2603,11077.2,2287,9576.37,1937,8442.01,2446,10442.43,2393,10336.94,2890,12626.44,28979,120605.66
"EU","Cashew nut",4996,29767.43,6230,36645.99,8735,51588.37,8888,50648.12,9952,56819.86,11523,64922.86,12621,70195.32,12183,67623.08,9693,53120.15,11590,63120.93,9985,53631.83,9813,52790,116209,650874.27
"EU","Seafood",0,52606.55,0,64868.73,0,85699.88,0,66818.97,0,73707.53,0,74248.15,0,80712.18,0,83278.03,0,69782.41,0,70559.78,0,69442.36,0,77816.19,0,869541.36
"EU","Fresh and pocessed vegetables and fruit",0,15407.84,0,16927.96,0,17891.32,0,19798.68,0,23807.57,0,21421.07,0,18982.84,0,19598.62,0,20164.17,0,16375.94,0,17512.2,0,19770.8,0,227659.19
"EU","Textile, sewing products",0,284314.74,0,208642.47,0,273894.89,0,326525.54,0,411123.19,0,371278.55,0,393958.93,0,320190.03,0,243075.36,0,305678.09,0,320027.38,0,305735.75,0,3764445.7
"EU","Paper and paper products",0,377.36,0,267.56,0,298.1,0,275.9,0,405.77,0,354.04,0,319.62,0,468.77,0,180.63,0,180.02,0,104.09,0,248.47,0,3480.37
"EU","Footwear",0,331411.34,0,313855.31,0,419823.4,0,471212.41,0,446793.58,0,433124.68,0,383793.71,0,328744.29,0,333201.98,0,442329.47,0,468409.24,0,450188.7,0,4822888.95
"EU","Wood and wooden products",0,34989.54,0,38424.36,0,39818.81,0,27892.15,0,26873.76,0,25796.88,0,23356.29,0,33194.84,0,28040.61,0,40117.08,0,44560.38,0,61919.6,0,424985.04
"EU","Rice",2125,1287.9,3707,2333.51,3328,2272.67,3905,2542.83,4946,3307.61,4198,2779.88,4764,3121.13,4403,3058.7,2937,2076.92,2724,1954.05,3289,2378.03,1623,1286.41,41949,28399.84
"EU","Electrical wire and cable",0,577.55,0,1456.33,0,2233.93,0,1637.68,0,2428.14,0,3513.74,0,4893.13,0,6098.23,0,3820.15,0,2932.25,0,2098.94,0,4813.45,0,36503.63
"EU","Tea",41,91.6,93,177.32,49,104.84,29,71.13,10,81.42,46,165.29,103,205.56,64,226.22,160,141.48,70,195.38,44,208.14,116,205.26,825,1873.74
"EU","Plastic materials",4531,5104.84,8072,9231.65,13634,14823.27,13232,14973.79,7239,8484.53,3312,3724.18,4361,4968.79,5915,6332.28,6186,6577.37,13412,13641.3,15133,15416.93,10879,11125.76,105906,114404.78
"EU","Rubber",4109,5713.19,5101,7888.43,4488,6865.73,2531,3796.63,3253,4636,4883,6865.95,4406,6124.23,5875,7853.94,4971,6811.27,6383,8806.91,5759,8426.3,7576,10721.92,59335,84510.85
"EU","Coffee",62132,135050.06,79047,165028.83,79570,173656.74,63536,145480.99,54104,131912.96,47506,121744.71,41395,111256.89,27821,78511.61,14071,43425.1,11081,39605.09,40238,112898.87,80047,223165.2,600548,1481737.64
"EU","Chemical products",0,859.41,0,1353.33,0,1889.23,0,912.9,0,1046.91,0,1108.35,0,1635.99,0,1401.18,0,1605.13,0,1252.16,0,875.73,0,1632.75,0,15573.18
"EU","Sweets, cookies and cereal preparations",0,8883.58,0,11152.56,0,12201.85,0,11482.67,0,10386.85,0,10554.67,0,11227.49,0,11636.66,0,9539.49,0,13502.93,0,12089.17,0,14796.36,0,137454.57
"EU","Telephones and their parts",0,801563.94,0,635802.17,0,492489.84,0,489830.3,0,349849.19,0,405291.05,0,695197.23,0,639115.99,0,626094.41,0,677425.64,0,568995.56,0,312174.28,0,6693830.25
"EU","Toys, games and sports requisites; parts and accessories thereof",0,43388.56,0,58050.01,0,52816.89,0,33597.95,0,73662.47,0,81998.18,0,52119.89,0,35304.61,0,46938.31,0,24553.73,0,25026.86,0,23124.48,0,550582.32
"EU","Precious stones, precious metals and their products",0,3449.25,0,7564.59,0,5090.51,0,4554.33,0,7730.39,0,5002.63,0,7742.83,0,10526.54,0,6002.05,0,9284.41,0,11307.52,0,8258.6,0,86513.84
"ASEAN",NA,0,2173989.2,0,2846428.92,0,3134799.68,0,2704063.79,0,2687044.95,0,2462019.71,0,2850481.57,0,3038955.41,0,2470423.06,0,2571544.6,0,2760364.38,0,2871120.04,0,32571235.77
"ASEAN","Fibres, not spun",9675,28027.71,10350,34599.66,15057,36769.08,11598,32405.65,12583,35142.72,10923,30107.44,10243,27516.38,12267,32487.28,13270,35023.07,11245,30241.68,11159,29978.05,9472,25257.69,137842,377556.66
"ASEAN","Petroleum oil, refined",66323,60102.5,76160,63133.69,104332,77765.12,86085,65218.86,84960,58060.35,76325,52877.26,77831,55082.96,80188,63466.7,39081,33391.95,37834,33648.46,127628,96074.79,176964,129207.56,1033711,788030.46
"ASEAN","Pieces of cloth and other technical cloths",0,6041.3,0,4865.77,0,6218.61,0,4592.2,0,5702.52,0,6669.19,0,6394.96,0,7495.35,0,5733.17,0,5020.6,0,6035.08,0,4831.7,0,69600.53
"ASEAN","Bags, pockets, wallets, suitcases, hats and umbrellas",0,3041.61,0,4065.17,0,4551.77,0,4219.26,0,4964.1,0,4239.4,0,5276.79,0,5139.47,0,4213.08,0,6412.79,0,6463.57,0,6644.74,0,59231.88
"ASEAN","Animal fodder and materials",0,22318.2,0,27583.55,0,30989.74,0,31203.26,0,28886.88,0,26513.42,0,35258.74,0,34694.84,0,33828.89,0,28932.66,0,29774.88,0,24488.58,0,354473.98
"ASEAN","Glass and glassware",0,39451.75,0,41505.83,0,48476.09,0,50272.72,0,28296.18,0,34424.88,0,53821.37,0,27821.83,0,22619.67,0,43251.54,0,45801.34,0,48894.21,0,484637.67
"ASEAN","Coal",0,0,0,0,527,135.13,167,40.98,323,108.4,4164,1497,1976,625.7,8352,2669.02,307,72.61,28500,6412.5,32636,6251.59,498,117.99,77450,17930.97
"ASEAN","Articles of rubber",0,4955.61,0,6203.31,0,6678.55,0,5325.92,0,5799.26,0,5883.09,0,5810.66,0,6184.19,0,5485.02,0,5252.49,0,6572.59,0,5881.47,0,70032.43
"ASEAN","Iron, Steel",223025,152899.48,308975,217123.68,410104,298441.91,242979,184932.46,338787,244403.8,176345,130149.74,303370,201889.12,331648,216559.96,280322,184503.22,259044,169089.94,314149,198462.46,309408,200443.73,3498156,2398899.9
"ASEAN","Casava and casava products",2401,1101.47,4748,2205.46,5308,2514.02,3220,1583.56,1267,670.49,1594,806.88,1916,1006.18,2049,1120.09,532,266.11,2300,1287.1,2882,1555.12,4535,2334.5,32752,16451.08
"ASEAN","Articles of iron and steel",0,34915.82,0,41172.69,0,50983.31,0,43905.57,0,37387.16,0,34379.44,0,36816.36,0,37057.31,0,33344.59,0,31108.56,0,53454.57,0,35370.94,0,469896.73
"ASEAN","Articles of plastics",0,34255.98,0,48482.05,0,51266.49,0,42992.73,0,44492.76,0,46413.79,0,46629.66,0,51111.69,0,46135.76,0,45510.37,0,48921.28,0,49366.97,0,555579.91
"ASEAN","Other furniture products (excluding wooden furniture)",0,1019.91,0,1492.7,0,1656.06,0,724.55,0,1000.4,0,835.76,0,1230.6,0,1591.69,0,1102.13,0,1614.49,0,1528.92,0,1964.58,0,15762.01
"ASEAN","Pottery and glasware",0,8511.96,0,8319.35,0,10615.16,0,10763.95,0,13227.3,0,11317.17,0,11470.28,0,11594.78,0,9966.69,0,10503.05,0,9728.54,0,11299.46,0,127318.05
"ASEAN","Ores and other minerals",157408,3052.53,15475,2234.52,446,134.98,9150,704.98,56417,1589.97,3752,810.21,11128,1088.66,61188,1632.19,6876,1341.67,51113,1952.16,105009,1715.07,745,214.03,478707,16471.1
"ASEAN","Means of transport and equipment",0,169827.12,0,220377.65,0,203722.24,0,190923.34,0,134836.04,0,188217.81,0,142813.45,0,178660.16,0,179092.94,0,109744.63,0,117937.45,0,132476.62,0,1968629.81
